	date_and_time	time	left_eye_EAR	right_eye_EAR	AVERAGE_EAR	LAR	ANGLE
144	2018-03-25 18:55:39 779000	18:55	0.29942473580817114	0.3071475584169756	0.3032861471125734	0.32308972797947105	-6.6325146151384615
145	2018-03-25 18:55:39 906000	18:55	0.29361010975735174	0.279078152825719	0.28634413129153535	0.32391119988154166	-5.314545669944749
146	2018-03-25 18:55:40 033000	18:55	0.31008683647302115	0.31323027878410764	0.3116585576285644	0.32338564943592324	-6.48307369289725
147	2018-03-25 18:55:40 161000	18:55	0.2807022876983124	0.2859659609976086	0.2833341243479605	0.34350330431716297	-5.194428907734789
148	2018-03-25 18:55:40 273000	18:55	0.2828954962257003	0.2557041559783794	0.26929982610203984	0.35420488707670456	-5.314545669944749
149	2018-03-25 18:55:40 402000	18:55	0.3721042037676254	0.34875020002934626	0.3604272018984858	0.31521119774296946	-5.194428907734789
150	2018-03-25 18:55:40 528000	18:55	0.3746705608874931	0.3746705608874931	0.3746705608874931	0.3256585188493885	-6.48307369289725
151	2018-03-25 18:55:40 643000	18:55	0.4056792445347952	0.3742697169310832	0.38997448073293917	0.3346620980344213	-6.6325146151384615
152	2018-03-25 18:55:40 769000	18:55	0.4056792445347952	0.3797340545940409	0.39270664956441803	0.34444910169299975	-6.6325146151384615
153	2018-03-25 18:55:40 899000	18:55	0.29651742278276144	0.31008683647302115	0.30330212962789127	0.32523134849954277	-6.6325146151384615
154	2018-03-25 18:55:41 011000	18:55	0.32830842531896226	0.31008683647302115	0.31919763089599174	0.32499808718435874	-5.440332031005511
155	2018-03-25 18:55:41 138000	18:55	0.31189143077590264	0.292103118918493	0.30199727484719785	0.32499808718435874	-6.6325146151384615
156	2018-03-25 18:55:41 269000	18:55	0.28379062147523115	0.28964222318174615	0.28671642232848865	0.30617515431481246	-5.314545669944749
157	2018-03-25 18:55:41 393000	18:55	0.2707709174319611	0.295378269592824	0.2830745935123925	0.31562843022688963	-6.48307369289725
158	2018-03-25 18:55:41 507000	18:55	0.24211709905575113	0.31018891860054165	0.2761530088281464	0.3249544506206004	-6.6325146151384615
159	2018-03-25 18:55:41 632000	18:55	0.31008683647302115	0.31018891860054165	0.3101378775367814	0.3345757482551575	-7.765166018425333
160	2018-03-25 18:55:41 761000	18:55	0.2876301804462766	0.2832553219924299	0.28544275121935325	0.32366658462624165	-7.94347181059041
161	2018-03-25 18:55:41 876000	18:55	0.2978879006693419	0.31018891860054165	0.3040384096349418	0.32363061807110305	-7.94347181059041
162	2018-03-25 18:55:42 001000	18:55	0.3131573012449295	0.31323027878410764	0.3131937900145186	0.324840920544173	-7.94347181059041
163	2018-03-25 18:55:42 128000	18:55	0.2978879006693419	0.31622776601683794	0.3070578333430899	0.32475486093867323	-6.6325146151384615
164	2018-03-25 18:55:42 243000	18:55	0.3242058216857667	0.3467323420120994	0.3354690818489331	0.33620182112186786	-6.48307369289725
165	2018-03-25 18:55:42 369000	18:55	0.24087440257466058	0.24949920596716638	0.2451868042709135	0.33348367508576926	-7.94347181059041
166	2018-03-25 18:55:42 497000	18:55	0.24087440257466058	0.2352794372544048	0.2380769199145327	0.3352431234184989	-9.462322208025626
167	2018-03-25 18:55:42 626000	18:55	0.24087440257466058	0.2352794372544048	0.2380769199145327	0.32408019686626593	-6.6325146151384615
168	2018-03-25 18:55:42 738000	18:55	0.2657851979020681	0.24571804673358047	0.2557516223178243	0.3159096595587851	-7.94347181059041
169	2018-03-25 18:55:42 867000	18:55	0.2978879006693419	0.31323027878410764	0.30555908972672474	0.32408019686626593	-7.94347181059041
170	2018-03-25 18:55:42 996000	18:55	0.2978879006693419	0.31018891860054165	0.3040384096349418	0.33348367508576926	-7.765166018425333
171	2018-03-25 18:55:43 112000	18:55	0.2859659609976086	0.31018891860054165	0.29807743979907514	0.32507606229402414	-9.246112745563238
172	2018-03-25 18:55:43 236000	18:55	0.2807022876983124	0.33009677928182	0.3053995334900662	0.33469035776123796	-7.94347181059041
